australian_appl_no,patent_status_type,examination_section_name,invention_description
2004325505,LAPSED,,Screening method (metabolite grid) for novel therapeutic extracts and molecules for Diabetes
2004325527,GRANTED,MECH 3 - Process Engineering,Production of valve metal powders
2004325528,GRANTED,MECH 3 - Process Engineering,Detergent dispenser
2004325537,LAPSED,ELEC 1 - Physics,Ink fountain liner
2004325542,GRANTED,ELEC 1 - Physics,Capping system for inkjet printers having arcuately moveable printheads
2004325543,GRANTED,ELEC 1 - Physics,Inkjet printer with capping mechanism
2004325544,GRANTED,ELEC 1 - Physics,Capping system for inkjet printhead assembly
2004325546,GRANTED,ELEC 1 - Physics,Two-stage capping mechanism for inkjet printers
2004325551,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Tripolyphosphate pet food palatability enhancers
2004325554,CEASED,MECH 1 - Mechanical Engineering,High torque dual chamber turbine rotor for hand held or spindle mounted pneumatic tool
2004325580,LAPSED,,System and method of erasing non-volatile recording media
2004325626,GRANTED,CHEM 3 - Pharmaceuticals,External patches containing etofenamate
2004325672,CEASED,CHEM 4 - Polymers and Applied Chemistry,Reactor for simultaneous separation of hydrogen and oxygen from water
2004325692,LAPSED,CHEM 2 - Chemical Compounds,Novel substituted thiophenepyrimidinone derivatives as inhibitors of 17beta-hydroxysteroid dehydrogenase
2004325701,CEASED,ELEC 2 - Electronics and Communications,Hearing aid with feedback model gain estimation
2004325728,CEASED,MECH 3 - Process Engineering,Method and apparatus for removing solute from a solid solute-bearing product
2004325746,GRANTED,ELEC 2 - Electronics and Communications,An antenna arrangement and a method relating thereto
2004325748,GRANTED,ELEC 2 - Electronics and Communications,Latency reduction when setting up an uplink wireless communications channel
2004325749,LAPSED,,Absorbent article with a checking function for elastic elongation
2004325797,GRANTED,MXT - Mixed Technology,Cab-over-engine vehicle and method of mounting cab
2004325810,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Process for production of jellylike drinks
2004325822,LAPSED,CHEM 1 - Biotechnology,Low cell density fermentation process for the production of heterologous recombinant proteins in microorganisms
2004325827,GRANTED,CHEM 4 - Polymers and Applied Chemistry,An improved iodized salt and a process for its preparation
2004325833,CEASED,MECH 3 - Process Engineering,Energy-saving climatic test chamber and method of operation
2004325859,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Process for preparing a detergent
2004325892,LAPSED,,Heavy load vehicle tire
2004325896,GRANTED,ELEC 2 - Electronics and Communications,Data flow control with duplicate acknowledgment
2004325899,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Process for the manufacture of non-fried instant cooking dry noodles
2004325906,CEASED,ELEC 2 - Electronics and Communications,"A method of preparing a hearing aid, and a hearing aid"
2004325907,LAPSED,MECH 1 - Mechanical Engineering,Method and system for reducing fuel consumption in a diesel engine
2004325908,GRANTED,MECH 4 - Medical Devices,Connector bridge
2004325915,GRANTED,ELEC 2 - Electronics and Communications,A method for wireless terminal dynamically switching window in a wireless LAN environment
2004325939,GRANTED,ELEC 2 - Electronics and Communications,Wide color gamut displays
2004325941,GRANTED,MECH 4 - Medical Devices,Wall mountable printer with removable cartridge
2004325951,LAPSED,MECH 4 - Medical Devices,Device for the removal of unsightly skin
2004325957,LAPSED,,Air filtration apparatus and aromatizer
2004325958,LAPSED,ELEC 3 - Computing,"Multicultural and multimedia data collection and documentation computer system, apparatus and method"
2004325962,LAPSED,,Absorbent article comprising one or several patterns
2004325965,GRANTED,MECH 4 - Medical Devices,Absorbent pad
2004325970,LAPSED,,Absorbent article
2004325988,CEASED,,Dairy ingredient - preparation and use
2004326012,GRANTED,CHEM 1 - Biotechnology,"Mite composition, use thereof, method for rearing a phytoseiid predatory mite, rearing system for rearing said phytoseiid predatory mite and methods for biological pest control on a crop"
2004326049,GRANTED,ELEC 3 - Computing,Information input/output method using dot pattern
2004326074,GRANTED,,Biological process for reducing chemical and biochemical oxygen demand of pulp and paper industrial effluent
2004326079,LAPSED,,"Process for producing 1-benzyl-4-[(5,6-dimethoxy-1-indanon2-yl)methyl] piperidine or its salt thereof via novel intermediate"
2004326080,GRANTED,MECH 3 - Process Engineering,Biological neutralization of highly alkaline textile industrial wastewater
2004326088,CEASED,MXT - Mixed Technology,Grid for lead-acid battery with electroconductive polymer coating
2004326103,LAPSED,,"A process for preparation of 4-Amino-1-isobutyl-1H-imidazo[4,5-c]-quinoline (Imiquimod)"
2004326111,LAPSED,,"Process for preparing 5,6-dihydro-4-(S)-(ethylamino)-6-(S) methyl-4H-thieno[2,3b]thiopyran-2-sulphonamide-7,7-dioxide HCI"
2004326112,GRANTED,MECH 3 - Process Engineering,Biotechnological process for neutralizing alkaline beverage industrial waste water
2004326113,GRANTED,,Process for preparing microbial consortium useful as seeding material for BOD analysis of pulp and paper industrial wastewater
2004326123,CEASED,MECH 3 - Process Engineering,Method of manufacturing a wind turbine blade shell member with a fastening member and a wind turbine blade with a fastening member
2004326143,GRANTED,MECH 1 - Mechanical Engineering,A container of smokable articles sealed with a label
2004326154,GRANTED,ELEC 2 - Electronics and Communications,Method of controlling a wind turbine connected to an electric utility grid
2004326157,LAPSED,MECH 1 - Mechanical Engineering,Method and system for improving fuel economy and environmental impact operating a 2-stroke engine
2004326158,CEASED,ELEC 1 - Physics,Wind turbine comprising a multiplied redundancy control system and method of controlling a wind turbine
2004326161,LAPSED,MECH 4 - Medical Devices,Intramedullary nail
2004326198,WITHDRAWN,,Mechanical fastening systems
2004326202,GRANTED,CHEM 4 - Polymers and Applied Chemistry,Microbiocidal control in the processing of meat-producing four-legged animals
2004326206,CEASED,"Vacant - A1 PBR, Plants and Biotechnology",Improved grain quality through altered expression of seed proteins
2004326211,GRANTED,MXT - Mixed Technology,Microbiocidal control in the processing of meat-producing four-legged animals
2004326218,LAPSED,ELEC 3 - Computing,A method for the early indication of serialisation bottlenecks
2004326230,LAPSED,,Absorbent article having improved properties of handling low-viscosity fecal materials
2004326231,LAPSED,,Pant type absorbent article
2004326232,LAPSED,,Absorbent article having a pocket for receiving and storing faeces and method for its manufacture
2004326239,GRANTED,ELEC 2 - Electronics and Communications,An antenna device for a radio base station in a cellular telephony system
2004326262,GRANTED,ELEC 1 - Physics,A method and apparatus for directing the use of a Coriolis flow meter
2004326273,LAPSED,MXT - Mixed Technology,Membrane card and method for the production and use thereof
2004326285,LAPSED,MECH 1 - Mechanical Engineering,Clamping ring for fastening a gas generating cartridge
2004326291,LAPSED,ELEC 2 - Electronics and Communications,Method and device for minimizing the signaling load in an element of a serving communication network
2004326297,LAPSED,CHEM 3 - Pharmaceuticals,High concentration self-microemulsifying coenzyme Q10 preparations for nutritional use
2004326300,GRANTED,MXT - Mixed Technology,Device and method for identifying and treating vaginal affections
2004326327,LAPSED,,Spinal rod insertion instrument
2005203559,LAPSED,MXT - Mixed Technology,Apparatus and method to make a sail and relative sail made
2005213171,LAPSED,,Hydroponic stock fodder system
2005213484,LAPSED,CHEM 2 - Chemical Compounds,RNAi therapeutics for treatment of eye neovascularization diseases
2005213931,LAPSED,MECH 1 - Mechanical Engineering,Collapsible portable child safety seat
2005215562,CEASED,MECH 3 - Process Engineering,Current busbar
2005217662,LAPSED,MECH 2 - Construction and Mining,A recycling shower system
2005218627,LAPSED,ELEC 2 - Electronics and Communications,Method and apparatus for receive diversity control in wireless communications
2005221078,LAPSED,,Magnetism to control friction checks for rods
2005222327,LAPSED,ELEC 2 - Electronics and Communications,Transmit diversity and spatial spreading for an OFDM-based multi-antenna communication system
2005224205,GRANTED,ELEC 1 - Physics,Card reading device
2005225249,LAPSED,,Orthodontic appliance and method
2005226570,LAPSED,ELEC 2 - Electronics and Communications,Pilot transmission and channel estimation for MISO and MIMO system
2005226677,LAPSED,,Circular vacuum handle
2005227137,LAPSED,MECH 1 - Mechanical Engineering,System and method for removing brake dust and other pollutants
2005227717,GRANTED,CHEM 4 - Polymers and Applied Chemistry,"Method of production of meat products from entire muscular tissue, with direct incorporation of olive oil"
2005229778,LAPSED,MECH 1 - Mechanical Engineering,Inductive position sensor
2005231456,LAPSED,MECH 1 - Mechanical Engineering,Illuminated collar
2005232532,CEASED,CHEM 3 - Pharmaceuticals,"Combination of dehydroepiandrosterone or dehydroepiandrosterone-sulfate with a glucocorticosteroid for treatment of asthma, chronic obstructive pulmonary disease or allergic rhinitis"
2005235519,LAPSED,ELEC 1 - Physics,Exercise device with removable weight
2005237360,CEASED,"Vacant - A1 PBR, Plants and Biotechnology",Time-limited release type granular pharmaceutical composition for oral administration and intraoral rapid disintegration tablet containing the composition
2005237653,LAPSED,,Golf alignment device
2005240667,LAPSED,,Platform ladder system
2005241566,GRANTED,,Ultrasound phased array devices and methods for use with stainless steel
2005244059,LAPSED,"Vacant - A1 PBR, Plants and Biotechnology",Stabilized hyaluronan preparations and related methods
2005244191,GRANTED,MXT - Mixed Technology,Method and apparatus for treating pelvic organ prolapse
2005245263,LAPSED,CHEM 4 - Polymers and Applied Chemistry,Method for improving plant growth
2005247279,LAPSED,ELEC 3 - Computing,A trampoline
2005248276,LAPSED,,Glycosylated immunoglobulin and immunoadhesin comprising the same
2005249540,CEASED,CHEM 3 - Pharmaceuticals,Tissue-specific imaging and therapeutic agents targeting proteins expressed on lung endothelial cell surface
2005249541,CEASED,"Vacant - A1 PBR, Plants and Biotechnology","Vascular targets for detecting, imaging and treating neoplasia or neovasculature"
2005249553,CEASED,"Vacant - A1 PBR, Plants and Biotechnology",Imaging and therapeutic agents targeting proteins expressed on endothelial cell surface
2005249605,CONVERTED,,Dynamic golf club selection system
2005250036,LAPSED,ELEC 1 - Physics,Methods and apparatus for label-independent monitoring of biological interactions on sensitized substrates
2005250273,CEASED,CHEM 2 - Chemical Compounds,"Propane-1,3-dione derivative or its salt"
2005250442,LAPSED,CHEM 1 - Biotechnology,Nucleotide sequences and polypeptides encoded thereby useful for modifying plant characteristics
2005250447,GRANTED,CHEM 1 - Biotechnology,Nucleotide sequences and polypeptides encoded thereby useful for modifying plant characteristics
2005250481,CEASED,CHEM 2 - Chemical Compounds,The use of sized barite as a weighting agent for drilling fluids
2005250789,GRANTED,ELEC 2 - Electronics and Communications,Medical infusion pump capable of learning bolus time patterns and providing bolus alerts
2005250900,CEASED,MECH 3 - Process Engineering,Multipurpose adiabatic potable water production apparatus and method
